"ts","dur","name","category","thread_name","depth"
4482558662435196,4201,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558662463216,8782,"aten::split_with_sizes","cpu_op","thread 168079 (python)",1
4482558662467672,1089,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558662469510,635,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558662542670,108370,"_OperationFuserAutogradFunction","cpu_op","thread 168079 (python)",1
4482558662565764,1154,"aten::view","cpu_op","thread 168079 (python)",2
4482558662570005,1014,"aten::view","cpu_op","thread 168079 (python)",2
4482558662581529,4895,"aten::empty","cpu_op","thread 168079 (python)",2
4482558662588795,3010,"aten::empty","cpu_op","thread 168079 (python)",2
4482558662596154,2566,"aten::empty","cpu_op","thread 168079 (python)",2
4482558662603287,7601,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558662620807,1576,"aten::view","cpu_op","thread 168079 (python)",2
4482558662693029,136485,"_OperationFuserAutogradFunction","cpu_op","thread 168079 (python)",1
4482558662711176,45589,"aten::contiguous","cpu_op","thread 168079 (python)",2
4482558662713164,43350,"aten::clone","cpu_op","thread 168079 (python)",3
4482558662725856,6373,"aten::empty_like","cpu_op","thread 168079 (python)",4
4482558662727508,3937,"aten::empty","cpu_op","thread 168079 (python)",5
4482558662733578,22474,"aten::copy_","cpu_op","thread 168079 (python)",4
4482558662744628,8128,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",5
4482558662761465,2093,"aten::view","cpu_op","thread 168079 (python)",2
4482558662766318,1021,"aten::view","cpu_op","thread 168079 (python)",2
4482558662772437,3359,"aten::empty","cpu_op","thread 168079 (python)",2
4482558662777590,2863,"aten::empty","cpu_op","thread 168079 (python)",2
4482558662783367,2319,"aten::empty","cpu_op","thread 168079 (python)",2
4482558662789406,7024,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558662804495,1308,"aten::view","cpu_op","thread 168079 (python)",2
4482558662856898,746,"cudaStreamIsCapturing","cuda_runtime","thread 168079 (python)",1
4482558662900476,105568,"_Linear","cpu_op","thread 168079 (python)",1
4482558662928860,3905,"aten::empty","cpu_op","thread 168079 (python)",2
4482558663040166,11231,"_CopyToModelParallelRegion","cpu_op","thread 168079 (python)",1
4482558663046474,2947,"aten::view_as","cpu_op","thread 168079 (python)",2
4482558663047225,1944,"aten::view","cpu_op","thread 168079 (python)",3
4482558663066865,78069,"LinearWithGradAccumulationAndAsyncCommunication","cpu_op","thread 168079 (python)",1
4482558663075398,5547,"aten::t","cpu_op","thread 168079 (python)",2
4482558663076795,3360,"aten::transpose","cpu_op","thread 168079 (python)",3
4482558663078317,1544,"aten::as_strided","cpu_op","thread 168079 (python)",4
4482558663083143,46068,"aten::matmul","cpu_op","thread 168079 (python)",2
4482558663084548,2085,"aten::reshape","cpu_op","thread 168079 (python)",3
4482558663085139,1313,"aten::view","cpu_op","thread 168079 (python)",4
4482558663087502,37557,"aten::mm","cpu_op","thread 168079 (python)",3
4482558663126634,1579,"aten::_unsafe_view","cpu_op","thread 168079 (python)",3
4482558663151335,9827,"_GatherFromModelParallelRegion","cpu_op","thread 168079 (python)",1
4482558663157965,1763,"aten::view_as","cpu_op","thread 168079 (python)",2
4482558663158519,983,"aten::view","cpu_op","thread 168079 (python)",3
4482558663172421,6123,"_CopyToModelParallelRegion","cpu_op","thread 168079 (python)",1
4482558663176182,1221,"aten::view_as","cpu_op","thread 168079 (python)",2
4482558663176522,716,"aten::view","cpu_op","thread 168079 (python)",3
4482558663189338,52916,"LinearWithGradAccumulationAndAsyncCommunication","cpu_op","thread 168079 (python)",1
4482558663194523,3041,"aten::t","cpu_op","thread 168079 (python)",2
4482558663195326,1367,"aten::transpose","cpu_op","thread 168079 (python)",3
4482558663195902,593,"aten::as_strided","cpu_op","thread 168079 (python)",4
4482558663198859,30810,"aten::matmul","cpu_op","thread 168079 (python)",2
4482558663199595,1353,"aten::reshape","cpu_op","thread 168079 (python)",3
4482558663199943,860,"aten::view","cpu_op","thread 168079 (python)",4
4482558663201469,25879,"aten::mm","cpu_op","thread 168079 (python)",3
4482558663228382,762,"aten::_unsafe_view","cpu_op","thread 168079 (python)",3
4482558663250330,23834,"aten::mul","cpu_op","thread 168079 (python)",1
4482558663265914,6205,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558663283913,4035,"aten::reshape","cpu_op","thread 168079 (python)",1
4482558663284288,3363,"aten::view","cpu_op","thread 168079 (python)",2
4482558663291773,17468,"aten::add","cpu_op","thread 168079 (python)",1
4482558663301270,5931,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558663319793,3512,"aten::view","cpu_op","thread 168079 (python)",1
4482558663328388,6512,"aten::unsqueeze","cpu_op","thread 168079 (python)",1
4482558663332535,890,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558663337045,3325,"aten::unsqueeze","cpu_op","thread 168079 (python)",1
4482558663338832,723,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558663366494,3176,"aten::view","cpu_op","thread 168079 (python)",1
4482558663381983,7851,"aten::slice","cpu_op","thread 168079 (python)",1
4482558663385785,986,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558663394391,1514,"aten::slice","cpu_op","thread 168079 (python)",1
4482558663395060,256,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558663401542,2675,"aten::slice","cpu_op","thread 168079 (python)",1
4482558663402912,439,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558663415495,6325,"aten::split_with_sizes","cpu_op","thread 168079 (python)",1
4482558663418528,591,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558663419670,229,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558663440415,133869,"aten::einsum","cpu_op","thread 168079 (python)",1
4482558663449308,3341,"aten::unsqueeze","cpu_op","thread 168079 (python)",2
4482558663450686,885,"aten::as_strided","cpu_op","thread 168079 (python)",3
4482558663454251,5085,"aten::permute","cpu_op","thread 168079 (python)",2
4482558663457859,547,"aten::as_strided","cpu_op","thread 168079 (python)",3
4482558663460278,1538,"aten::unsqueeze","cpu_op","thread 168079 (python)",2
4482558663460925,518,"aten::as_strided","cpu_op","thread 168079 (python)",3
4482558663462224,1565,"aten::unsqueeze","cpu_op","thread 168079 (python)",2
4482558663462778,644,"aten::as_strided","cpu_op","thread 168079 (python)",3
4482558663464319,1518,"aten::permute","cpu_op","thread 168079 (python)",2
4482558663465049,457,"aten::as_strided","cpu_op","thread 168079 (python)",3
4482558663472971,2348,"aten::permute","cpu_op","thread 168079 (python)",2
4482558663474477,404,"aten::as_strided","cpu_op","thread 168079 (python)",3
4482558663475940,20896,"aten::reshape","cpu_op","thread 168079 (python)",2
4482558663492694,3799,"aten::_reshape_alias","cpu_op","thread 168079 (python)",3
4482558663497601,1363,"aten::permute","cpu_op","thread 168079 (python)",2
4482558663498282,393,"aten::as_strided","cpu_op","thread 168079 (python)",3
4482558663499456,1832,"aten::reshape","cpu_op","thread 168079 (python)",2
4482558663500212,908,"aten::_reshape_alias","cpu_op","thread 168079 (python)",3
4482558663502616,60699,"aten::bmm","cpu_op","thread 168079 (python)",2
4482558663564401,2213,"aten::view","cpu_op","thread 168079 (python)",2
4482558663567103,2710,"aten::permute","cpu_op","thread 168079 (python)",2
4482558663568511,619,"aten::as_strided","cpu_op","thread 168079 (python)",3
4482558663571612,1542,"aten::view","cpu_op","thread 168079 (python)",2
4482558663578107,31225,"aten::contiguous","cpu_op","thread 168079 (python)",1
4482558663579398,29701,"aten::clone","cpu_op","thread 168079 (python)",2
4482558663582406,5795,"aten::empty_like","cpu_op","thread 168079 (python)",3
4482558663583694,3963,"aten::empty","cpu_op","thread 168079 (python)",4
4482558663589488,18851,"aten::copy_","cpu_op","thread 168079 (python)",3
4482558663599732,6647,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",4
4482558663627220,5952,"aten::alias","cpu_op","thread 168079 (python)",1
4482558663636017,3323,"aten::slice","cpu_op","thread 168079 (python)",1
4482558663637580,730,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558663642217,2253,"aten::slice","cpu_op","thread 168079 (python)",1
4482558663643452,425,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558663646658,2007,"aten::slice","cpu_op","thread 168079 (python)",1
4482558663647802,351,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558663654194,23444,"aten::cat","cpu_op","thread 168079 (python)",1
4482558663668157,7507,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558663682753,19406,"aten::cos","cpu_op","thread 168079 (python)",1
4482558663694326,6358,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558663708516,16559,"aten::mul","cpu_op","thread 168079 (python)",1
4482558663719370,4589,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558663733652,20970,"aten::to","cpu_op","thread 168079 (python)",1
4482558663735011,19334,"aten::_to_copy","cpu_op","thread 168079 (python)",2
4482558663738226,4640,"aten::empty_strided","cpu_op","thread 168079 (python)",3
4482558663743620,10168,"aten::copy_","cpu_op","thread 168079 (python)",3
4482558663747291,4956,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",4
4482558663758858,15788,"aten::sin","cpu_op","thread 168079 (python)",1
4482558663767999,5215,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558663777177,8571,"aten::mul","cpu_op","thread 168079 (python)",1
4482558663781773,3188,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558663788768,10905,"aten::to","cpu_op","thread 168079 (python)",1
4482558663789149,10379,"aten::_to_copy","cpu_op","thread 168079 (python)",2
4482558663790200,2844,"aten::empty_strided","cpu_op","thread 168079 (python)",3
4482558663793549,5725,"aten::copy_","cpu_op","thread 168079 (python)",3
4482558663795361,2998,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",4
4482558663801408,25045,"aten::mul","cpu_op","thread 168079 (python)",1
4482558663819964,5043,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558663840832,17414,"aten::chunk","cpu_op","thread 168079 (python)",1
4482558663844864,13053,"aten::split","cpu_op","thread 168079 (python)",2
4482558663850228,3598,"aten::narrow","cpu_op","thread 168079 (python)",3
4482558663851968,1442,"aten::slice","cpu_op","thread 168079 (python)",4
4482558663852652,535,"aten::as_strided","cpu_op","thread 168079 (python)",5
4482558663854375,1416,"aten::narrow","cpu_op","thread 168079 (python)",3
4482558663854696,916,"aten::slice","cpu_op","thread 168079 (python)",4
4482558663855156,291,"aten::as_strided","cpu_op","thread 168079 (python)",5
4482558663872293,17257,"aten::neg","cpu_op","thread 168079 (python)",1
4482558663883096,4584,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558663892936,12521,"aten::cat","cpu_op","thread 168079 (python)",1
4482558663899917,4026,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558663908747,17333,"aten::mul","cpu_op","thread 168079 (python)",1
4482558663921224,3258,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558663929532,12599,"aten::add","cpu_op","thread 168079 (python)",1
4482558663936793,4151,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558663945985,15140,"aten::cat","cpu_op","thread 168079 (python)",1
4482558663953519,6305,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558663968410,2804,"aten::alias","cpu_op","thread 168079 (python)",1
4482558663973897,3101,"aten::slice","cpu_op","thread 168079 (python)",1
4482558663975589,515,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558663979483,2009,"aten::slice","cpu_op","thread 168079 (python)",1
4482558663980542,380,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558663983756,2034,"aten::slice","cpu_op","thread 168079 (python)",1
4482558663985015,260,"aten::as_strided","cpu_op","thread 168079 (python)",2
4482558663988335,10459,"aten::cat","cpu_op","thread 168079 (python)",1
4482558663993559,4035,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558664001079,8666,"aten::cos","cpu_op","thread 168079 (python)",1
4482558664005127,3535,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558664012392,8372,"aten::mul","cpu_op","thread 168079 (python)",1
4482558664016733,3267,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558664024986,12476,"aten::to","cpu_op","thread 168079 (python)",1
4482558664025444,11868,"aten::_to_copy","cpu_op","thread 168079 (python)",2
4482558664026760,2781,"aten::empty_strided","cpu_op","thread 168079 (python)",3
4482558664030156,6795,"aten::copy_","cpu_op","thread 168079 (python)",3
4482558664032626,3176,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",4
4482558664039781,7701,"aten::sin","cpu_op","thread 168079 (python)",1
4482558664043394,3148,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558664049504,7932,"aten::mul","cpu_op","thread 168079 (python)",1
4482558664053426,2931,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558664060104,10670,"aten::to","cpu_op","thread 168079 (python)",1
4482558664060467,10169,"aten::_to_copy","cpu_op","thread 168079 (python)",2
4482558664061367,2537,"aten::empty_strided","cpu_op","thread 168079 (python)",3
4482558664064488,5927,"aten::copy_","cpu_op","thread 168079 (python)",3
4482558664066074,3240,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",4
4482558664072442,17389,"aten::mul","cpu_op","thread 168079 (python)",1
4482558664084215,4418,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558664092154,7672,"aten::chunk","cpu_op","thread 168079 (python)",1
4482558664092923,6658,"aten::split","cpu_op","thread 168079 (python)",2
4482558664094514,2040,"aten::narrow","cpu_op","thread 168079 (python)",3
