category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_64x96_64x15_2x2_2cta_h_bz_TNT,220,0.001,32.9,0.113
gemm,nvjet_sm103_tst_96x128_64x7_4x1_v_bz_TNN,246,0.001,44.3,0.128
gemm,nvjet_sm103_tst_96x128_64x9_2x2_2cta_h_bz_TNN,214,0.001,19.4,0.032
gemm,nvjet_sm103_tst_128x136_64x6_2x1_v_bz_NNT,69,0.0,37.9,0.057
gemm,nvjet_sm103_tst_128x160_64x8_2x2f_2cta_h_bz_NNT,1,0.0,196.1,0.196
gemm,nvjet_sm103_tst_128x160_64x8_2x2f_2cta_h_bz_TNT,22,0.0,108.1,0.193
gemm,nvjet_sm103_tst_128x160_64x8_4x1_2cta_v_bz_NNT,6,0.0,40.0,0.046
gemm,nvjet_sm103_tst_128x160_64x8_4x1_2cta_v_bz_TNT,12,0.0,25.6,0.035
gemm,nvjet_sm103_tst_128x16_64x11_1x2_h_bz_NNT,112,0.0,25.6,0.076
gemm,nvjet_sm103_tst_128x16_64x12_2x2_2cta_h_bz_TNT,224,0.0,15.8,0.029
gemm,nvjet_sm103_tst_128x192_64x7_2x2f_2cta_h_bz_NNT,3,0.0,140.0,0.213
gemm,nvjet_sm103_tst_128x200_64x5_2x1_v_bz_NNT,17,0.0,62.6,0.128
gemm,nvjet_sm103_tst_128x24_64x11_1x2_h_bz_NNT,38,0.0,26.6,0.046
gemm,nvjet_sm103_tst_128x24_64x11_1x4_h_bz_NNT,56,0.0,28.7,0.067
gemm,nvjet_sm103_tst_128x24_64x11_2x1_v_bz_splitK_NNT,89,0.0,23.5,0.075
gemm,nvjet_sm103_tst_128x24_64x11_4x2_h_bz_NNT,161,0.0,24.6,0.047
gemm,nvjet_sm103_tst_128x24_64x11_4x2_h_bz_TNT,224,0.0,15.5,0.027
gemm,nvjet_sm103_tst_128x272_64x4_2x1_v_bz_NNT,41,0.0,88.1,0.214
gemm,nvjet_sm103_tst_128x272_64x4_2x1_v_bz_TNT,38,0.0,106.7,0.26
gemm,nvjet_sm103_tst_128x272_64x4_4x1_v_bz_TNT,2,0.0,49.7,0.051
gemm,nvjet_sm103_tst_128x40_64x10_1x4_h_bz_NNT,102,0.0,30.5,0.067
gemm,nvjet_sm103_tst_128x416_64x5_2x1_2cta_v_bz_NNT,1,0.0,114.0,0.114
gemm,nvjet_sm103_tst_128x56_64x9_1x4_h_bz_NNT,34,0.0,36.3,0.059
gemm,nvjet_sm103_tst_128x56_64x9_2x1_v_bz_NNT,59,0.0,30.5,0.083
gemm,nvjet_sm103_tst_128x64_64x8_1x4_h_bz_NNT,64,0.0,37.8,0.072
gemm,nvjet_sm103_tst_128x72_64x8_1x4_h_bz_NNT,76,0.0,36.9,0.08
gemm,nvjet_sm103_tst_128x88_64x7_2x1_v_bz_TNT,112,0.0,20.3,0.043
gemm,nvjet_sm103_tst_160x192_64x5_1x2_2cta_h_bz_NNN,2,0.0,85.6,0.103
gemm,nvjet_sm103_tst_160x192_64x5_2x2f_2cta_h_bz_NNN,4,0.0,107.2,0.126
gemm,nvjet_sm103_tst_176x128_64x8_2x2f_2cta_h_bz_TNN,94,0.0,39.0,0.06
gemm,nvjet_sm103_tst_192x112_64x6_2x2_2cta_h_bz_NNT,86,0.0,38.8,0.047
gemm,nvjet_sm103_tst_192x128_64x6_2x1_2cta_v_bz_NNT,65,0.0,11.4,0.216
gemm,nvjet_sm103_tst_192x128_64x6_2x1_2cta_v_bz_TNT,8,0.0,106.5,0.115
gemm,nvjet_sm103_tst_192x128_64x6_2x2_2cta_h_bz_TNT,30,0.0,56.3,0.085
gemm,nvjet_sm103_tst_192x128_64x6_2x2f_2cta_h_bz_TNT,2,0.0,82.0,0.083
gemm,nvjet_sm103_tst_192x144_64x6_2x1_2cta_v_bz_NNT,1,0.0,55.3,0.055
gemm,nvjet_sm103_tst_192x144_64x6_2x1_2cta_v_bz_TNT,2,0.0,30.7,0.032
gemm,nvjet_sm103_tst_192x160_64x6_2x1_2cta_v_bz_NNT,7,0.0,61.2,0.065
gemm,nvjet_sm103_tst_192x160_64x6_2x1_2cta_v_bz_TNT,24,0.0,37.5,0.142
gemm,nvjet_sm103_tst_192x160_64x6_2x2_2cta_h_bz_NNT,78,0.0,45.1,0.081
gemm,nvjet_sm103_tst_192x160_64x6_2x2f_2cta_h_bz_NNT,1,0.0,59.2,0.059
gemm,nvjet_sm103_tst_192x160_64x6_2x2f_2cta_h_bz_TNT,14,0.0,101.4,0.214
gemm,nvjet_sm103_tst_192x176_64x6_2x2f_2cta_h_bz_TNT,2,0.0,120.8,0.174
gemm,nvjet_sm103_tst_192x208_64x5_2x2_2cta_h_bz_NNT,59,0.0,49.3,0.07
gemm,nvjet_sm103_tst_192x208_64x5_2x2_2cta_h_bz_TNT,118,0.0,27.3,0.055
gemm,nvjet_sm103_tst_192x256_64x5_2x2_2cta_h_bz_NNT,4,0.0,53.5,0.058
gemm,nvjet_sm103_tst_192x80_64x7_2x2_2cta_h_bz_NNT,7,0.0,34.6,0.037
gemm,nvjet_sm103_tst_192x80_64x7_2x2_2cta_h_bz_TNT,14,0.0,19.6,0.03
