layer,gpu,start_ns,wall_ms
layer:33,1,20268439826,114.029
layer:33,2,3547075971,76.182
layer:33,2,20268450580,114.596
layer:33,3,3547549846,74.714
layer:33,3,20268517523,114.018
layer:33,4,3547220978,75.316
layer:33,4,20268382633,114.104
layer:33,5,3547353195,76.01
layer:33,5,20268489514,114.372
layer:33,6,3547943037,75.506
layer:33,6,20269296350,113.466
layer:33,7,3548509582,74.849
layer:33,7,20268476760,114.156
layer:34,0,3623199738,73.526
layer:34,0,20044341476,106.26
layer:34,1,3622987181,73.14
layer:34,1,20045394152,105.414
layer:34,2,3623391272,72.563
layer:34,2,20045100427,106.05
layer:34,3,3622400303,73.628
layer:34,3,20045197546,105.626
layer:34,4,3622679627,73.407
layer:34,4,20045180275,105.685
layer:34,5,3623495691,72.996
layer:34,5,20045213161,105.925
layer:34,6,3623590295,72.92
layer:34,6,20045083038,106.068
layer:34,7,3623497471,73.017
layer:34,7,20045304808,105.688
layer:35,0,3696856640,149.392
layer:35,0,19845479288,114.093
layer:35,1,3696273953,149.851
layer:35,1,19846328222,114.2
layer:35,2,3696099001,149.318
layer:35,2,19846310209,114.658
layer:35,3,3696174045,151.853
layer:35,3,19846219143,114.303
layer:35,4,3696234960,150.265
layer:35,4,19846292369,114.2
layer:35,5,3696623149,149.72
layer:35,5,19846416829,114.28
layer:35,6,3696643868,150.607
layer:35,6,19846419631,114.16
layer:35,7,3696654649,150.969
layer:35,7,19846470378,114.212
layer:36,0,3846380596,67.059
layer:36,0,19652058958,105.968
layer:36,1,3846266835,67.748
layer:36,1,19652830719,105.636
layer:36,2,3845558062,67.581
layer:36,2,19652908523,105.86
layer:36,3,3848182753,65.57
layer:36,3,19652796418,105.546
layer:36,4,3846643125,65.814
layer:36,4,19653414502,104.955
layer:36,5,3846477840,66.244
layer:36,5,19653072115,105.658
layer:36,6,3847382785,66.309
layer:36,6,19652901027,105.606
layer:36,7,3847761150,66.768
layer:36,7,19653707738,105.002
layer:37,0,3913566828,68.666
layer:37,0,19412253476,115.496
layer:37,1,3914173159,67.627
layer:37,1,19413793988,114.76
layer:37,2,3913270432,68.818
layer:37,2,19413184284,115.691
layer:37,3,3913887639,69.383
layer:37,3,19413239711,115.435
layer:37,4,3912598225,70.547
layer:37,4,19413081629,115.715
layer:37,5,3912857135,70.25
layer:37,5,19413182712,115.802
layer:37,6,3913826214,95.83
layer:37,6,19413043779,115.743
layer:37,7,3914677331,69.755
layer:37,7,19413439070,115.444
layer:38,0,3982365800,100.549
layer:38,0,19208688678,110.506
layer:38,1,3981939412,85.35
layer:38,1,19209638504,110.135
layer:38,2,3982232489,84.189
layer:38,2,19209489467,110.289
layer:38,3,3983403190,83.039
layer:38,3,19209447151,110.29
layer:38,4,3983283636,83.501
layer:38,4,19209418363,110.314
layer:38,5,3983243577,84.176
layer:38,5,19209536917,110.157
layer:38,6,4009791264,57.176
layer:38,6,19209714559,109.863
layer:38,7,3984588225,83.81
layer:38,7,19209557771,110.191
layer:39,0,4083045251,122.588
layer:39,0,19007441681,109.602
layer:39,1,4067428825,138.36
layer:39,1,19008305324,114.26
layer:39,2,4066548338,139.465
layer:39,2,19007813835,114.569
layer:39,3,4066582074,139.118
layer:39,3,19007821383,112.882
layer:39,4,4066933399,139.233
layer:39,4,19007863087,113.0
layer:39,5,4067556122,138.184
layer:39,5,19007817970,114.989
layer:39,6,4067117308,138.105
layer:39,6,19007793011,109.953
layer:39,7,4068569668,138.404
layer:39,7,19007972993,110.04
layer:40,0,4205766872,69.156
layer:40,0,18782128803,110.042
layer:40,1,4205939879,69.62
layer:40,1,18783195100,109.216
layer:40,2,4206156878,68.468
layer:40,2,18782968180,109.635
layer:40,3,4205832500,69.294
layer:40,3,18782987130,109.61
layer:40,4,4206308996,69.393
layer:40,4,18783182292,109.454
layer:40,5,4205873461,69.436
layer:40,5,18783364246,109.163
layer:40,6,4205357996,70.354
layer:40,6,18783028580,109.453
layer:40,7,4207123407,69.723
layer:40,7,18783190820,109.525
layer:41,0,4275055486,88.637
layer:41,0,18578674455,107.261
layer:41,1,4275712693,85.369
layer:41,1,18579548092,107.203
layer:41,2,4274751607,89.212
layer:41,2,18579402583,107.598
layer:41,3,4275260687,80.057
