phase,gpu,metric,avg
backward,5,SM Issue [Throughput %],16.78
backward,5,Tensor Active [Throughput %],20.24
backward,5,DRAM Read Bandwidth [Throughput %],9.93
backward,5,DRAM Write Bandwidth [Throughput %],5.63
backward,5,NVLink RX Requests Protocol Data [Throughput %],0.52
backward,5,NVLink RX Requests User Data [Throughput %],1.47
backward,5,NVLink RX Responses Protocol Data [Throughput %],0.47
backward,5,NVLink RX Responses User Data [Throughput %],1.58
backward,5,NVLink TX Requests Protocol Data [Throughput %],0.8
backward,5,NVLink TX Requests User Data [Throughput %],1.51
backward,5,NVLink TX Responses Protocol Data [Throughput %],0.2
backward,5,NVLink TX Responses User Data [Throughput %],1.27
backward,6,GR Active [Throughput %],90.64
backward,6,SMs Active [Throughput %],62.28
backward,6,SM Issue [Throughput %],17.52
backward,6,Tensor Active [Throughput %],21.54
backward,6,DRAM Read Bandwidth [Throughput %],10.48
backward,6,DRAM Write Bandwidth [Throughput %],6.05
backward,6,NVLink RX Requests Protocol Data [Throughput %],0.58
backward,6,NVLink RX Requests User Data [Throughput %],1.64
backward,6,NVLink RX Responses Protocol Data [Throughput %],0.41
backward,6,NVLink RX Responses User Data [Throughput %],1.51
backward,6,NVLink TX Requests Protocol Data [Throughput %],0.74
backward,6,NVLink TX Requests User Data [Throughput %],1.5
backward,6,NVLink TX Responses Protocol Data [Throughput %],0.22
backward,6,NVLink TX Responses User Data [Throughput %],1.44
backward,7,GR Active [Throughput %],99.23
backward,7,SMs Active [Throughput %],59.29
backward,7,SM Issue [Throughput %],16.74
backward,7,Tensor Active [Throughput %],20.07
backward,7,DRAM Read Bandwidth [Throughput %],9.86
backward,7,DRAM Write Bandwidth [Throughput %],5.58
backward,7,NVLink RX Requests Protocol Data [Throughput %],0.52
backward,7,NVLink RX Requests User Data [Throughput %],1.47
backward,7,NVLink RX Responses Protocol Data [Throughput %],0.52
backward,7,NVLink RX Responses User Data [Throughput %],1.63
backward,7,NVLink TX Requests Protocol Data [Throughput %],0.85
backward,7,NVLink TX Requests User Data [Throughput %],1.51
backward,7,NVLink TX Responses Protocol Data [Throughput %],0.2
backward,7,NVLink TX Responses User Data [Throughput %],1.27
optimizer,0,GR Active [Throughput %],22.58
optimizer,0,SMs Active [Throughput %],10.59
optimizer,0,SM Issue [Throughput %],1.24
optimizer,0,Tensor Active [Throughput %],0.0
optimizer,0,DRAM Read Bandwidth [Throughput %],2.03
optimizer,0,DRAM Write Bandwidth [Throughput %],1.71
optimizer,0,NVLink RX Requests Protocol Data [Throughput %],0.0
optimizer,0,NVLink RX Requests User Data [Throughput %],0.0
optimizer,0,NVLink RX Responses Protocol Data [Throughput %],0.0
optimizer,0,NVLink RX Responses User Data [Throughput %],0.0
optimizer,0,NVLink TX Requests Protocol Data [Throughput %],0.0
optimizer,0,NVLink TX Requests User Data [Throughput %],0.0
optimizer,0,NVLink TX Responses Protocol Data [Throughput %],0.0
optimizer,0,NVLink TX Responses User Data [Throughput %],0.0
optimizer,1,GR Active [Throughput %],22.63
optimizer,1,SMs Active [Throughput %],10.56
optimizer,1,SM Issue [Throughput %],1.22
optimizer,1,Tensor Active [Throughput %],0.0
optimizer,1,DRAM Read Bandwidth [Throughput %],1.97
optimizer,1,DRAM Write Bandwidth [Throughput %],1.72
optimizer,1,NVLink RX Requests Protocol Data [Throughput %],0.0
optimizer,1,NVLink RX Requests User Data [Throughput %],0.0
optimizer,1,NVLink RX Responses Protocol Data [Throughput %],0.0
optimizer,1,NVLink RX Responses User Data [Throughput %],0.0
optimizer,1,NVLink TX Requests Protocol Data [Throughput %],0.0
optimizer,1,NVLink TX Requests User Data [Throughput %],0.0
optimizer,1,NVLink TX Responses Protocol Data [Throughput %],0.0
optimizer,1,NVLink TX Responses User Data [Throughput %],0.0
optimizer,2,GR Active [Throughput %],27.43
optimizer,2,SMs Active [Throughput %],10.63
optimizer,2,SM Issue [Throughput %],1.29
optimizer,2,Tensor Active [Throughput %],0.0
