category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_64x32_64x16_1x2_h_bz_splitK_NTT,624,0.001,9.9,0.012
gemm,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_NNT,151,0.001,24.9,0.066
gemm,nvjet_sm103_tst_64x40_64x16_2x2_h_bz_TNT,124,0.001,30.7,0.081
gemm,nvjet_sm103_tst_64x48_64x16_2x2_2cta_h_bz_TNT,328,0.001,30.7,0.077
gemm,nvjet_sm103_tst_64x48_64x16_2x2_2cta_h_bz_splitK_NNT,164,0.001,22.0,0.091
gemm,nvjet_sm103_tst_64x72_64x12_4x1_v_bz_TNT,236,0.001,33.8,0.08
gemm,nvjet_sm103_tst_64x80_64x16_2x2_2cta_h_bz_NNT,158,0.001,26.8,0.113
gemm,nvjet_sm103_tst_64x80_64x16_2x2_2cta_h_bz_TNT,266,0.001,29.2,0.071
gemm,nvjet_sm103_tst_64x88_64x11_4x1_v_bz_TNT,122,0.001,37.7,0.114
gemm,nvjet_sm103_tst_64x8_64x16_2x2_h_bz_TNT,256,0.001,31.0,0.114
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_NNT,273,0.001,22.4,0.074
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_TNT,546,0.001,14.3,0.03
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_NNT,273,0.001,17.1,0.097
gemm,nvjet_sm103_tst_64x96_64x15_2x2_2cta_h_bz_TNT,238,0.001,32.3,0.095
gemm,nvjet_sm103_tst_96x128_64x7_4x1_v_bz_TNN,236,0.001,44.4,0.133
gemm,nvjet_sm103_tst_96x128_64x9_2x2_2cta_h_bz_TNN,228,0.001,19.6,0.032
gemm,nvjet_sm103_tst_128x136_64x6_2x1_v_bz_NNT,75,0.0,38.5,0.092
gemm,nvjet_sm103_tst_128x160_64x8_2x2f_2cta_h_bz_NNT,1,0.0,207.6,0.208
gemm,nvjet_sm103_tst_128x160_64x8_4x1_2cta_v_bz_NNT,6,0.0,48.4,0.066
gemm,nvjet_sm103_tst_128x160_64x8_4x1_2cta_v_bz_TNT,12,0.0,26.7,0.036
gemm,nvjet_sm103_tst_128x168_64x5_4x1_v_bz_TNT,66,0.0,55.3,0.09
gemm,nvjet_sm103_tst_128x16_64x11_1x2_h_bz_NNT,116,0.0,25.8,0.078
gemm,nvjet_sm103_tst_128x16_64x12_2x2_2cta_h_bz_TNT,232,0.0,16.1,0.028
gemm,nvjet_sm103_tst_128x192_64x7_2x2f_2cta_h_bz_NNT,3,0.0,139.0,0.141
gemm,nvjet_sm103_tst_128x200_64x5_2x1_v_bz_NNT,18,0.0,61.3,0.103
gemm,nvjet_sm103_tst_128x216_64x4_4x1_v_bz_TNT,46,0.0,66.1,0.098
gemm,nvjet_sm103_tst_128x24_64x11_1x2_h_bz_NNT,22,0.0,25.4,0.053
gemm,nvjet_sm103_tst_128x24_64x11_1x4_h_bz_NNT,50,0.0,29.8,0.065
gemm,nvjet_sm103_tst_128x24_64x11_2x1_v_bz_splitK_NNT,75,0.0,24.6,0.097
gemm,nvjet_sm103_tst_128x24_64x11_4x2_h_bz_NNT,156,0.0,25.4,0.046
gemm,nvjet_sm103_tst_128x24_64x11_4x2_h_bz_TNT,192,0.0,15.6,0.023
gemm,nvjet_sm103_tst_128x256_64x6_4x1f_2cta_v_bz_TNT,6,0.0,264.7,0.288
gemm,nvjet_sm103_tst_128x272_64x4_4x1_v_bz_TNT,2,0.0,53.7,0.069
gemm,nvjet_sm103_tst_128x40_64x10_1x4_h_bz_NNT,104,0.0,33.4,0.072
gemm,nvjet_sm103_tst_128x416_64x5_2x1_2cta_v_bz_NNT,4,0.0,117.2,0.14
gemm,nvjet_sm103_tst_128x48_64x11_2x2_2cta_h_bz_TNT,100,0.0,36.0,0.075
gemm,nvjet_sm103_tst_128x56_64x9_1x4_h_bz_NNT,39,0.0,35.7,0.082
gemm,nvjet_sm103_tst_128x56_64x9_2x1_v_bz_NNT,61,0.0,30.8,0.07
gemm,nvjet_sm103_tst_128x64_64x8_1x4_h_bz_NNT,58,0.0,38.1,0.116
gemm,nvjet_sm103_tst_128x72_64x8_1x4_h_bz_NNT,83,0.0,37.6,0.123
