layer,gpu,start_ns,wall_ms
layer:18,4,21780323212,104.823
layer:18,5,2231157538,76.183
layer:18,5,21779999749,104.903
layer:18,6,2231025209,76.725
layer:18,6,21780343404,104.996
layer:18,7,2230102720,76.641
layer:18,7,21779783349,105.233
layer:19,0,2307317857,153.225
layer:19,0,21550123721,112.499
layer:19,1,2306671821,153.211
layer:19,1,21550995924,111.903
layer:19,2,2307877382,152.614
layer:19,2,21551090741,112.07
layer:19,3,2308063111,154.133
layer:19,3,21550976903,112.167
layer:19,4,2306636843,154.185
layer:19,4,21550867945,112.235
layer:19,5,2307480763,152.474
layer:19,5,21550606431,112.03
layer:19,6,2307885397,151.856
layer:19,6,21550870161,112.22
layer:19,7,2306875791,152.841
layer:19,7,21550530889,111.78
layer:20,0,2460688719,78.616
layer:20,0,21341072244,110.033
layer:20,1,2460045471,79.377
layer:20,1,21341759007,109.898
layer:20,2,2460640170,80.46
layer:20,2,21341483354,111.11
layer:20,3,2462343977,78.578
layer:20,3,21341569874,110.258
layer:20,4,2460963610,78.826
layer:20,4,21341810543,109.885
layer:20,5,2460107687,79.567
layer:20,5,21341320368,109.95
layer:20,6,2459884766,79.806
layer:20,6,21341711364,110.064
layer:20,7,2459857066,79.08
layer:20,7,21341422424,110.156
layer:21,0,2539451337,74.036
layer:21,0,21104834702,108.865
layer:21,1,2539573622,74.133
layer:21,1,21105919987,107.955
layer:21,2,2541243376,73.743
layer:21,2,21105531522,108.878
layer:21,3,2541086271,75.025
layer:21,3,21105624247,108.391
layer:21,4,2539928356,73.051
layer:21,4,21105603771,108.183
layer:21,5,2539814037,74.527
layer:21,5,21105386331,115.61
layer:21,6,2539828968,73.462
layer:21,6,21105828674,108.227
layer:21,7,2539093622,74.166
layer:21,7,21105372949,107.872
layer:22,0,2613636658,84.207
layer:22,0,20883678459,111.518
layer:22,1,2613856028,85.591
layer:22,1,20883046822,112.794
layer:22,2,2615139833,84.907
layer:22,2,20882830642,113.406
layer:22,3,2616251079,83.188
layer:22,3,20882981308,112.997
layer:22,4,2613132166,85.413
layer:22,4,20882782062,112.808
layer:22,5,2614483034,83.672
layer:22,5,20882895910,112.47
layer:22,6,2613430983,85.157
layer:22,6,20883021857,112.855
layer:22,7,2613402774,85.716
layer:22,7,20882849178,113.069
layer:23,0,2697991146,150.711
layer:23,0,20645582999,117.179
layer:23,1,2699604407,149.58
layer:23,1,20647418801,115.384
layer:23,2,2700201327,150.157
layer:23,2,20646865897,115.901
layer:23,3,2699607028,149.985
layer:23,3,20646991877,116.196
layer:23,4,2698686508,149.596
layer:23,4,20646739128,115.809
layer:23,5,2698302282,150.421
layer:23,5,20646300352,116.059
layer:23,6,2698728942,151.463
layer:23,6,20646847481,115.837
layer:23,7,2699257956,149.792
layer:23,7,20646549452,115.735
layer:24,0,2848850019,83.783
layer:24,0,20448873503,110.037
layer:24,1,2849339825,82.678
layer:24,1,20450055265,110.123
layer:24,2,2850513621,82.054
layer:24,2,20449713852,110.945
layer:24,3,2849743188,83.878
layer:24,3,20450076658,110.155
layer:24,4,2848422808,83.04
layer:24,4,20449732424,110.376
layer:24,5,2848870072,82.141
layer:24,5,20449432408,110.161
layer:24,6,2850337576,81.611
layer:24,6,20450017614,109.938
layer:24,7,2849197466,82.812
layer:24,7,20449548073,110.329
layer:25,0,2932786329,67.611
layer:25,0,20260914803,106.492
layer:25,1,2932181322,68.118
layer:25,1,20262327927,105.891
layer:25,2,2932731711,68.261
layer:25,2,20262120364,106.185
layer:25,3,2933782942,67.371
layer:25,3,20262535591,105.837
layer:25,4,2931605939,67.957
layer:25,4,20262010628,106.007
layer:25,5,2931166288,69.144
layer:25,5,20261710924,105.887
layer:25,6,2932095947,67.551
layer:25,6,20261964792,105.965
layer:25,7,2932153306,67.258
layer:25,7,20261812947,105.792
layer:26,0,3000549456,65.977
layer:26,0,20063608558,108.171
layer:26,1,3000455009,66.001
layer:26,1,20064603903,108.496
layer:26,2,3001154239,66.08
layer:26,2,20064270080,109.563
layer:26,3,3001297756,66.793
layer:26,3,20064686098,109.235
layer:26,4,2999696912,66.804
layer:26,4,20064341315,108.681
layer:26,5,3000456283,66.195
layer:26,5,20064263690,108.297
layer:26,6,2999795126,66.164
layer:26,6,20064376064,108.452
layer:26,7,2999552358,66.608
layer:26,7,20064462755,108.634
layer:27,0,3066683436,135.642
layer:27,0,19855341267,112.433
layer:27,1,3066599883,137.055
layer:27,1,19856380099,111.837
layer:27,2,3067376678,136.752
layer:27,2,19855967172,112.379
layer:27,3,3068251375,136.045
layer:27,3,19856499253,111.826
layer:27,4,3066642705,136.001
layer:27,4,19856017800,112.055
layer:27,5,3066790994,136.506
layer:27,5,19856213587,111.561
layer:27,6,3066102980,137.53
layer:27,6,19855973952,112.095
layer:27,7,3066300922,136.672
layer:27,7,19855818747,111.997
layer:28,0,3202481274,73.185
layer:28,0,19650141527,110.258
layer:28,1,3203800584,72.144
layer:28,1,19650796763,110.844
