category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_128x48_64x11_2x2_2cta_h_bz_TNT,114,0.001,35.5,0.077
gemm,nvjet_sm103_tst_128x56_64x9_2x1_v_bz_TNT,238,0.001,19.4,0.045
gemm,nvjet_sm103_tst_128x64_64x10_2x1_2cta_v_bz_TNT,532,0.001,18.5,0.049
gemm,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_NNT,315,0.001,32.0,0.073
gemm,nvjet_sm103_tst_128x72_64x8_1x4_h_bz_TNT,268,0.001,41.2,0.118
gemm,nvjet_sm103_tst_128x72_64x8_2x1_v_bz_NNT,169,0.001,32.8,0.073
gemm,nvjet_sm103_tst_128x72_64x8_2x1_v_bz_TNT,254,0.001,19.8,0.045
gemm,nvjet_sm103_tst_128x80_64x10_2x1_2cta_v_bz_TNT,306,0.001,19.0,0.039
gemm,nvjet_sm103_tst_128x80_64x10_2x2_2cta_h_bz_NNT,261,0.001,34.6,0.078
gemm,nvjet_sm103_tst_128x88_64x7_1x4_h_bz_NNT,115,0.001,42.3,0.125
gemm,nvjet_sm103_tst_128x88_64x7_1x4_h_bz_TNT,126,0.001,44.3,0.081
gemm,nvjet_sm103_tst_128x88_64x7_2x1_v_bz_NNT,123,0.001,40.0,0.1
gemm,nvjet_sm103_tst_128x96_64x9_2x1_2cta_v_bz_TNT,294,0.001,19.5,0.039
gemm,nvjet_sm103_tst_128x96_64x9_2x2_2cta_h_bz_TNT,232,0.001,39.8,0.137
gemm,nvjet_sm103_tst_160x192_64x6_2x2f_2cta_h_bz_TNN,82,0.001,110.1,0.229
gemm,nvjet_sm103_tst_192x112_64x6_2x2_2cta_h_bz_TNT,298,0.001,25.8,0.085
gemm,nvjet_sm103_tst_192x128_64x6_2x2_2cta_h_bz_NNT,148,0.001,40.4,0.06
gemm,nvjet_sm103_tst_192x144_64x6_2x2_2cta_h_bz_TNT,184,0.001,59.3,0.128
gemm,nvjet_sm103_tst_192x176_64x6_2x1_2cta_v_bz_NNT,106,0.001,68.5,0.126
