category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_128x72_64x8_1x4_h_bz_TNT,276,0.001,41.1,0.078
gemm,nvjet_sm103_tst_128x72_64x8_2x1_v_bz_NNT,185,0.001,32.9,0.084
gemm,nvjet_sm103_tst_128x72_64x8_2x1_v_bz_TNT,302,0.001,19.9,0.049
gemm,nvjet_sm103_tst_128x80_64x10_2x1_2cta_v_bz_TNT,312,0.001,18.9,0.047
gemm,nvjet_sm103_tst_128x80_64x10_2x2_2cta_h_bz_NNT,254,0.001,34.7,0.082
gemm,nvjet_sm103_tst_128x88_64x7_1x4_h_bz_NNT,107,0.001,41.2,0.077
gemm,nvjet_sm103_tst_128x88_64x7_1x4_h_bz_TNT,140,0.001,45.6,0.079
gemm,nvjet_sm103_tst_128x88_64x7_2x1_v_bz_NNT,134,0.001,42.6,0.116
gemm,nvjet_sm103_tst_128x96_64x9_2x1_2cta_v_bz_NNT,274,0.001,34.6,0.096
gemm,nvjet_sm103_tst_128x96_64x9_2x1_2cta_v_bz_TNT,294,0.001,19.5,0.041
gemm,nvjet_sm103_tst_128x96_64x9_2x2_2cta_h_bz_TNT,216,0.001,40.9,0.077
gemm,nvjet_sm103_tst_160x192_64x6_2x2f_2cta_h_bz_TNN,88,0.001,115.8,0.224
gemm,nvjet_sm103_tst_192x128_64x6_2x2_2cta_h_bz_NNT,163,0.001,39.3,0.062
gemm,nvjet_sm103_tst_192x144_64x6_2x2_2cta_h_bz_TNT,144,0.001,60.2,0.146
gemm,nvjet_sm103_tst_192x176_64x6_2x1_2cta_v_bz_NNT,99,0.001,69.7,0.11
gemm,nvjet_sm103_tst_192x176_64x6_2x1_2cta_v_bz_TNT,198,0.001,37.1,0.055
gemm,nvjet_sm103_tst_192x176_64x6_2x2_2cta_h_bz_NNT,160,0.001,47.0,0.085
gemm,nvjet_sm103_tst_192x176_64x6_2x2_2cta_h_bz_TNT,180,0.001,46.1,0.139
gemm,nvjet_sm103_tst_192x240_64x5_2x1_2cta_v_bz_NNT,77,0.001,113.2,0.135
