layer,gpu,start_ns,wall_ms
layer:16,5,3290428627,79.745
layer:16,5,25788638491,114.757
layer:16,6,3290164532,80.866
layer:16,6,25788503862,114.504
layer:16,7,3290436728,80.563
layer:16,7,25788589311,115.195
layer:17,0,3370393139,88.353
layer:17,0,25563832843,116.867
layer:17,1,3371390343,88.133
layer:17,1,25564253857,117.215
layer:17,2,3370955150,88.955
layer:17,2,25564270107,117.299
layer:17,3,3370365105,102.784
layer:17,3,25564521175,117.084
layer:17,4,3370744980,88.508
layer:17,4,25564364321,116.968
layer:17,5,3370342299,88.144
layer:17,5,25564330445,117.368
layer:17,6,3371184835,88.742
layer:17,6,25564070387,117.14
layer:17,7,3371143156,87.602
layer:17,7,25564346692,117.113
layer:18,0,3458890064,86.532
layer:18,0,25316795424,120.737
layer:18,1,3459655005,86.955
layer:18,1,25317481857,120.736
layer:18,2,3460057721,86.241
layer:18,2,25317520272,120.765
layer:18,3,3473318468,72.936
layer:18,3,25319237647,119.424
layer:18,4,3459411564,86.433
layer:18,4,25317479430,120.45
layer:18,5,3458638112,88.592
layer:18,5,25317590699,120.928
layer:18,6,3460082759,85.473
layer:18,6,25317298411,120.582
layer:18,7,3458875521,86.824
layer:18,7,25317556500,120.748
layer:19,0,3545559450,168.946
layer:19,0,25080476379,117.726
layer:19,1,3546749288,162.434
layer:19,1,25081228321,117.196
layer:19,2,3546446506,163.784
layer:19,2,25081174525,117.576
layer:19,3,3546391117,163.883
layer:19,3,25081217034,117.592
layer:19,4,3545996772,163.543
layer:19,4,25081018134,117.427
layer:19,5,3547390189,162.943
layer:19,5,25081126989,117.556
layer:19,6,3545720801,163.614
layer:19,6,25080856734,117.367
layer:19,7,3545835517,178.096
layer:19,7,25081181129,117.388
layer:20,0,3714644874,83.214
layer:20,0,24867705065,114.406
layer:20,1,3709332445,89.417
layer:20,1,24868501115,113.87
layer:20,2,3710376407,88.137
layer:20,2,24868595586,114.246
layer:20,3,3710414163,89.241
layer:20,3,24868822664,113.753
layer:20,4,3709695048,89.035
layer:20,4,24868496924,114.021
layer:20,5,3710486275,88.847
layer:20,5,24868508538,114.037
layer:20,6,3709484719,89.843
layer:20,6,24868278876,114.068
layer:20,7,3724069938,74.688
layer:20,7,24868614119,114.04
layer:21,0,3797998991,91.178
layer:21,0,24629265262,114.44
layer:21,1,3798886512,108.143
layer:21,1,24630839255,113.335
layer:21,2,3798652674,88.229
layer:21,2,24629824034,114.566
layer:21,3,3799790996,87.051
layer:21,3,24630068696,114.301
layer:21,4,3798881464,87.713
layer:21,4,24629710851,114.928
layer:21,5,3799482358,88.051
layer:21,5,24629883132,114.512
layer:21,6,3799478799,87.455
layer:21,6,24629824962,114.482
layer:21,7,3798900692,87.877
layer:21,7,24630018554,114.145
layer:22,0,3889352283,94.753
layer:22,0,24401282412,115.725
layer:22,1,3907167969,75.245
layer:22,1,24402079234,115.377
layer:22,2,3887032709,95.438
layer:22,2,24402059900,115.778
layer:22,3,3886979637,95.462
layer:22,3,24402098825,115.56
layer:22,4,3886746801,95.597
layer:22,4,24401858297,115.568
layer:22,5,3887678620,94.05
layer:22,5,24402009287,115.81
layer:22,6,3887080487,96.479
layer:22,6,24401778290,115.524
layer:22,7,3886919231,95.536
layer:22,7,24402004992,115.778
layer:23,0,3984248465,156.564
layer:23,0,24159376477,123.05
layer:23,1,3982545635,159.506
layer:23,1,24160166635,122.689
layer:23,2,3982620278,158.323
layer:23,2,24159879106,123.107
layer:23,3,3982578371,158.425
layer:23,3,24160204460,122.859
layer:23,4,3982508923,159.156
layer:23,4,24159868999,122.719
layer:23,5,3981878993,159.447
layer:23,5,24159979053,123.063
layer:23,6,3983712187,188.421
layer:23,6,24159745728,122.875
layer:23,7,3982590492,158.019
