category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_TNT,104,0.001,63.3,0.109
gemm,nvjet_sm103_tst_128x288_64x6_2x1_2cta_v_bz_NNT,193,0.001,52.5,0.162
gemm,nvjet_sm103_tst_128x32_64x11_2x2_2cta_h_bz_NNT,165,0.001,25.6,0.043
gemm,nvjet_sm103_tst_128x40_64x10_2x2_h_bz_splitK_TNT,164,0.001,28.3,0.114
gemm,nvjet_sm103_tst_128x48_64x11_2x1_2cta_v_bz_NNT,224,0.001,31.6,0.102
gemm,nvjet_sm103_tst_128x48_64x11_2x1_2cta_v_bz_TNT,256,0.001,18.1,0.045
gemm,nvjet_sm103_tst_128x48_64x11_2x2_2cta_h_bz_TNT,112,0.001,36.6,0.12
gemm,nvjet_sm103_tst_128x56_64x9_2x1_v_bz_TNT,236,0.001,19.2,0.048
gemm,nvjet_sm103_tst_128x64_64x10_2x1_2cta_v_bz_TNT,524,0.001,18.7,0.046
gemm,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_NNT,332,0.001,32.3,0.078
gemm,nvjet_sm103_tst_128x72_64x8_1x4_h_bz_TNT,256,0.001,42.2,0.129
gemm,nvjet_sm103_tst_128x72_64x8_2x1_v_bz_NNT,177,0.001,32.5,0.092
gemm,nvjet_sm103_tst_128x72_64x8_2x1_v_bz_TNT,276,0.001,20.0,0.048
gemm,nvjet_sm103_tst_128x80_64x10_2x1_2cta_v_bz_TNT,332,0.001,19.0,0.038
gemm,nvjet_sm103_tst_128x80_64x10_2x2_2cta_h_bz_NNT,272,0.001,33.6,0.126
gemm,nvjet_sm103_tst_128x88_64x7_1x4_h_bz_NNT,107,0.001,39.5,0.082
gemm,nvjet_sm103_tst_128x88_64x7_1x4_h_bz_TNT,140,0.001,43.8,0.081
gemm,nvjet_sm103_tst_128x88_64x7_2x1_v_bz_NNT,135,0.001,41.7,0.115
gemm,nvjet_sm103_tst_128x96_64x9_2x1_2cta_v_bz_TNT,276,0.001,19.6,0.042
gemm,nvjet_sm103_tst_128x96_64x9_2x2_2cta_h_bz_TNT,194,0.001,40.6,0.122
gemm,nvjet_sm103_tst_192x128_64x6_2x2_2cta_h_bz_NNT,156,0.001,40.8,0.069
gemm,nvjet_sm103_tst_192x144_64x6_2x2_2cta_h_bz_TNT,178,0.001,59.9,0.144
gemm,nvjet_sm103_tst_192x160_64x6_2x2_2cta_h_bz_TNT,280,0.001,33.8,0.144
gemm,nvjet_sm103_tst_192x176_64x6_2x1_2cta_v_bz_NNT,106,0.001,70.2,0.125
gemm,nvjet_sm103_tst_192x176_64x6_2x1_2cta_v_bz_TNT,212,0.001,37.2,0.063
gemm,nvjet_sm103_tst_192x176_64x6_2x2_2cta_h_bz_NNT,160,0.001,47.8,0.091
gemm,nvjet_sm103_tst_192x176_64x6_2x2_2cta_h_bz_TNT,188,0.001,45.8,0.108
gemm,nvjet_sm103_tst_192x240_64x5_2x1_2cta_v_bz_NNT,74,0.001,113.5,0.14
gemm,nvjet_sm103_tst_192x240_64x5_2x1_2cta_v_bz_TNT,44,0.001,170.1,0.31
