category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_192x112_64x6_2x2_2cta_h_bz_TNT,364,0.002,36.6,0.087
gemm,nvjet_sm103_tst_192x160_64x6_2x2_2cta_h_bz_TNT,318,0.002,42.8,0.163
gemm,nvjet_sm103_tst_192x256_64x5_2x1_2cta_v_bz_TNT,48,0.002,258.8,0.262
gemm,nvjet_sm103_tst_192x288_64x5_2x1_2cta_v_bz_TNT,332,0.002,54.2,0.183
gemm,nvjet_sm103_tst_256x224_64x4_2x2f_2cta_h_bz_NNT,64,0.002,246.9,0.318
gemm,nvjet_sm103_tst_256x224_64x4_2x2f_2cta_h_bz_TNT,78,0.002,253.6,0.31
gemm,nvjet_sm103_tst_32x256_64x6_1x2_2cta_h_bz_splitK_NNN,64,0.002,198.3,0.201
gemm,nvjet_sm103_tst_32x64_64x16_1x2_2cta_h_bz_splitK_NTN,624,0.002,21.2,0.023
gemm,nvjet_sm103_tst_64x16_64x16_2x2_2cta_h_bz_TNT,444,0.002,30.8,0.114
gemm,nvjet_sm103_tst_64x24_64x16_2x2_h_bz_TNT,378,0.002,29.5,0.122
gemm,nvjet_sm103_tst_64x64_64x16_2x2_2cta_h_bz_NNT,415,0.002,27.8,0.117
gemm,nvjet_sm103_tst_64x64_64x16_2x2_2cta_h_bz_TNT,498,0.002,32.1,0.126
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_TNT,506,0.002,23.7,0.107
gemm,nvjet_sm103_tst_96x64_64x15_2x2_2cta_h_bz_TNN,1112,0.002,16.4,0.029
gemm,nvjet_sm103_tst_128x104_64x7_1x4_h_bz_NNT,108,0.001,42.0,0.079
gemm,nvjet_sm103_tst_128x104_64x7_1x4_h_bz_TNT,100,0.001,45.8,0.133
gemm,nvjet_sm103_tst_128x104_64x7_2x1_v_bz_NNT,121,0.001,34.0,0.087
gemm,nvjet_sm103_tst_128x104_64x7_2x1_v_bz_TNT,242,0.001,21.1,0.045
gemm,nvjet_sm103_tst_128x112_64x9_2x1_2cta_v_bz_TNT,218,0.001,20.0,0.044
gemm,nvjet_sm103_tst_128x112_64x9_2x2_2cta_h_bz_NNT,110,0.001,39.5,0.121
gemm,nvjet_sm103_tst_128x112_64x9_2x2_2cta_h_bz_TNT,168,0.001,42.7,0.131
gemm,nvjet_sm103_tst_128x120_64x6_1x4_h_bz_NNT,128,0.001,44.1,0.087
gemm,nvjet_sm103_tst_128x120_64x6_2x1_v_bz_TNT,226,0.001,21.9,0.036
gemm,nvjet_sm103_tst_128x128_64x8_2x1_2cta_v_bz_TNT,226,0.001,20.7,0.039
