phase,gpu,metric,avg
forward,7,NVLink TX Requests User Data [Throughput %],2.23
forward,7,NVLink TX Responses Protocol Data [Throughput %],0.28
forward,7,NVLink TX Responses User Data [Throughput %],1.71
backward,0,GR Active [Throughput %],99.24
backward,0,SMs Active [Throughput %],73.95
backward,0,SM Issue [Throughput %],18.85
backward,0,Tensor Active [Throughput %],27.06
backward,0,DRAM Read Bandwidth [Throughput %],11.44
backward,0,DRAM Write Bandwidth [Throughput %],7.43
backward,0,NVLink RX Requests Protocol Data [Throughput %],0.89
backward,0,NVLink RX Requests User Data [Throughput %],1.99
backward,0,NVLink RX Responses Protocol Data [Throughput %],0.27
backward,0,NVLink RX Responses User Data [Throughput %],1.77
backward,0,NVLink TX Requests Protocol Data [Throughput %],0.72
backward,0,NVLink TX Requests User Data [Throughput %],2.02
backward,0,NVLink TX Responses Protocol Data [Throughput %],0.46
backward,0,NVLink TX Responses User Data [Throughput %],1.94
backward,1,GR Active [Throughput %],99.18
backward,1,SMs Active [Throughput %],75.83
backward,1,SM Issue [Throughput %],19.27
backward,1,Tensor Active [Throughput %],28.31
backward,1,DRAM Read Bandwidth [Throughput %],11.51
backward,1,DRAM Write Bandwidth [Throughput %],7.45
backward,1,NVLink RX Requests Protocol Data [Throughput %],0.71
backward,1,NVLink RX Requests User Data [Throughput %],2.0
backward,1,NVLink RX Responses Protocol Data [Throughput %],0.39
backward,1,NVLink RX Responses User Data [Throughput %],1.92
backward,1,NVLink TX Requests Protocol Data [Throughput %],0.84
backward,1,NVLink TX Requests User Data [Throughput %],2.04
backward,1,NVLink TX Responses Protocol Data [Throughput %],0.28
backward,1,NVLink TX Responses User Data [Throughput %],1.76
backward,2,GR Active [Throughput %],99.15
backward,2,SMs Active [Throughput %],75.35
backward,2,SM Issue [Throughput %],19.2
backward,2,Tensor Active [Throughput %],27.7
backward,2,DRAM Read Bandwidth [Throughput %],11.52
backward,2,DRAM Write Bandwidth [Throughput %],7.48
backward,2,NVLink RX Requests Protocol Data [Throughput %],0.72
backward,2,NVLink RX Requests User Data [Throughput %],2.04
backward,2,NVLink RX Responses Protocol Data [Throughput %],0.39
backward,2,NVLink RX Responses User Data [Throughput %],1.89
backward,2,NVLink TX Requests Protocol Data [Throughput %],0.83
backward,2,NVLink TX Requests User Data [Throughput %],2.02
backward,2,NVLink TX Responses Protocol Data [Throughput %],0.28
backward,2,NVLink TX Responses User Data [Throughput %],1.79
backward,3,GR Active [Throughput %],99.11
backward,3,SMs Active [Throughput %],75.68
backward,3,SM Issue [Throughput %],19.17
backward,3,Tensor Active [Throughput %],28.17
backward,3,DRAM Read Bandwidth [Throughput %],11.59
backward,3,DRAM Write Bandwidth [Throughput %],7.52
backward,3,NVLink RX Requests Protocol Data [Throughput %],0.73
backward,3,NVLink RX Requests User Data [Throughput %],2.06
backward,3,NVLink RX Responses Protocol Data [Throughput %],0.39
backward,3,NVLink RX Responses User Data [Throughput %],1.9
backward,3,NVLink TX Requests Protocol Data [Throughput %],0.83
backward,3,NVLink TX Requests User Data [Throughput %],2.02
backward,3,NVLink TX Responses Protocol Data [Throughput %],0.29
backward,3,NVLink TX Responses User Data [Throughput %],1.82
backward,4,GR Active [Throughput %],99.11
backward,4,SMs Active [Throughput %],75.35
backward,4,SM Issue [Throughput %],19.1
backward,4,Tensor Active [Throughput %],27.95
backward,4,DRAM Read Bandwidth [Throughput %],11.57
backward,4,DRAM Write Bandwidth [Throughput %],7.49
backward,4,NVLink RX Requests Protocol Data [Throughput %],0.71
backward,4,NVLink RX Requests User Data [Throughput %],2.0
backward,4,NVLink RX Responses Protocol Data [Throughput %],0.39
backward,4,NVLink RX Responses User Data [Throughput %],1.92
backward,4,NVLink TX Requests Protocol Data [Throughput %],0.84
backward,4,NVLink TX Requests User Data [Throughput %],2.03
backward,4,NVLink TX Responses Protocol Data [Throughput %],0.28
backward,4,NVLink TX Responses User Data [Throughput %],1.77
backward,5,GR Active [Throughput %],99.15
backward,5,SMs Active [Throughput %],74.35
backward,5,SM Issue [Throughput %],18.86
backward,5,Tensor Active [Throughput %],27.16
backward,5,DRAM Read Bandwidth [Throughput %],11.51
backward,5,DRAM Write Bandwidth [Throughput %],7.47
backward,5,NVLink RX Requests Protocol Data [Throughput %],0.69
backward,5,NVLink RX Requests User Data [Throughput %],1.96
backward,5,NVLink RX Responses Protocol Data [Throughput %],0.4
backward,5,NVLink RX Responses User Data [Throughput %],1.89
backward,5,NVLink TX Requests Protocol Data [Throughput %],0.84
backward,5,NVLink TX Requests User Data [Throughput %],2.02
backward,5,NVLink TX Responses Protocol Data [Throughput %],0.27
backward,5,NVLink TX Responses User Data [Throughput %],1.71
backward,6,GR Active [Throughput %],99.15
