waiting_gpu,start_ns,wait_ms,laggard_gpu,laggard_sync_frac,laggard_busy_frac,kind,laggard_top_categories,laggard_nvtx
0,20364695804,12.605,5,0.0,1.026,laggard_gpu_busy,gemm=6.1ms;elementwise=3.3ms;moe_permute=2.8ms,backward|recompute
0,20407055409,14.953,5,0.0,1.05,laggard_gpu_busy,gemm=12.3ms;moe_permute=2.9ms;cat_copy=0.5ms,backward|recompute
0,20816765351,8.674,2,0.0,1.035,laggard_gpu_busy,gemm=5.8ms;moe_permute=2.5ms;cat_copy=0.4ms,backward|recompute
0,20856952767,10.839,2,0.0,1.046,laggard_gpu_busy,gemm=8.6ms;moe_permute=2.8ms;hybridep_meta=0.0ms,backward|recompute
0,21027865766,8.652,1,0.0,1.045,laggard_gpu_busy,gemm=6.0ms;moe_permute=2.9ms;elementwise=0.1ms,backward|recompute
0,21069692628,10.611,1,0.0,1.047,laggard_gpu_busy,gemm=8.3ms;moe_permute=2.8ms;hybridep_meta=0.0ms,backward|recompute
0,21232359980,27.55,5,0.0,1.018,laggard_gpu_busy,gemm=12.3ms;elementwise=8.4ms;moe_permute=3.3ms,backward|recompute
0,21284968938,36.98,5,0.0,1.016,laggard_gpu_busy,gemm=16.5ms;elementwise=7.6ms;cat_copy=6.5ms,backward|recompute
0,21468781437,16.213,6,0.0,0.977,laggard_gpu_busy,gemm=5.6ms;elementwise=5.2ms;moe_permute=2.5ms,backward|recompute
0,21506371666,18.913,6,0.0,1.036,laggard_gpu_busy,gemm=10.7ms;moe_permute=2.7ms;elementwise=2.5ms,backward|recompute
0,21725990146,5.792,5,0.001,1.038,laggard_gpu_busy,gemm=3.4ms;moe_permute=2.6ms;hybridep_meta=0.0ms,backward|recompute
0,21887962194,20.766,6,0.0,1.012,laggard_gpu_busy,gemm=7.8ms;elementwise=7.8ms;moe_permute=3.4ms,backward|recompute
0,21938698262,29.338,6,0.0,1.023,laggard_gpu_busy,gemm=15.6ms;cat_copy=5.2ms;activation=3.4ms,backward|recompute
0,22328816759,24.68,5,0.0,1.047,laggard_gpu_busy,gemm=12.6ms;elementwise=6.9ms;moe_permute=3.0ms,backward|recompute
0,22374313369,29.256,5,0.0,1.021,laggard_gpu_busy,gemm=13.7ms;elementwise=8.2ms;moe_permute=3.1ms,backward|recompute
0,22562860954,16.939,2,0.0,1.016,laggard_gpu_busy,gemm=6.8ms;elementwise=6.5ms;moe_permute=3.1ms,backward|recompute
0,22607878933,20.895,2,0.0,1.032,laggard_gpu_busy,gemm=13.6ms;moe_permute=3.1ms;activation=3.0ms,backward|recompute
0,22788659342,21.281,3,0.0,1.012,laggard_gpu_busy,gemm=8.0ms;elementwise=8.0ms;moe_permute=3.6ms,backward|recompute
0,22840884747,30.05,3,0.0,1.023,laggard_gpu_busy,gemm=15.8ms;cat_copy=5.3ms;moe_permute=3.6ms,backward|recompute
0,23025879292,18.383,3,0.0,1.017,laggard_gpu_busy,gemm=7.0ms;elementwise=6.8ms;moe_permute=2.9ms,backward|recompute
0,23071803972,22.318,3,0.0,1.034,laggard_gpu_busy,gemm=13.9ms;moe_permute=3.2ms;activation=2.9ms,backward|recompute
0,23262553474,6.68,6,0.001,1.033,laggard_gpu_busy,gemm=4.1ms;moe_permute=2.8ms;hybridep_meta=0.0ms,backward|recompute
0,23306175115,7.933,6,0.0,1.057,laggard_gpu_busy,gemm=5.4ms;moe_permute=3.0ms;hybridep_meta=0.0ms,backward|recompute
0,23481310136,8.963,7,0.0,1.033,laggard_gpu_busy,gemm=6.1ms;moe_permute=2.9ms;elementwise=0.3ms,backward|recompute
0,23524220696,10.799,7,0.0,1.025,laggard_gpu_busy,gemm=8.1ms;moe_permute=2.9ms;hybridep_meta=0.0ms,backward|recompute
0,23689619362,8.813,5,0.0,1.034,laggard_gpu_busy,gemm=5.6ms;moe_permute=2.5ms;cat_copy=0.7ms,backward|recompute
0,23729185941,10.408,5,0.0,1.042,laggard_gpu_busy,gemm=8.2ms;moe_permute=2.6ms;hybridep_meta=0.0ms,backward|recompute
0,23891989085,7.501,1,0.0,1.045,laggard_gpu_busy,gemm=5.2ms;moe_permute=2.3ms;elementwise=0.3ms,backward|recompute
0,23928009504,9.498,1,0.0,1.067,laggard_gpu_busy,gemm=7.6ms;moe_permute=2.5ms;hybridep_meta=0.0ms,backward|recompute
0,24095407333,5.72,4,0.001,1.021,laggard_gpu_busy,gemm=3.4ms;moe_permute=2.4ms;hybridep_meta=0.0ms,backward|recompute
0,24133913065,6.577,4,0.001,1.048,laggard_gpu_busy,gemm=4.3ms;moe_permute=2.6ms;hybridep_meta=0.0ms,backward|recompute
0,24299824040,23.039,6,0.0,1.012,laggard_gpu_busy,gemm=8.4ms;elementwise=7.9ms;moe_permute=3.1ms,backward|recompute
0,24351234367,30.908,6,0.0,1.023,laggard_gpu_busy,gemm=16.1ms;cat_copy=6.1ms;moe_permute=3.3ms,backward|recompute
0,24758341626,28.241,4,0.0,1.02,laggard_gpu_busy,gemm=13.2ms;elementwise=8.4ms;moe_permute=3.3ms,backward|recompute
0,24811537833,36.95,4,0.0,1.016,laggard_gpu_busy,gemm=16.8ms;elementwise=7.7ms;cat_copy=6.3ms,backward|recompute
0,25211369442,27.202,3,0.0,1.021,laggard_gpu_busy,gemm=12.4ms;elementwise=8.2ms;moe_permute=3.3ms,backward|recompute
0,25262173520,35.52,3,0.0,1.017,laggard_gpu_busy,gemm=15.7ms;elementwise=7.7ms;cat_copy=6.1ms,backward|recompute
0,25450664066,29.86,4,0.0,1.034,laggard_gpu_busy,gemm=14.9ms;elementwise=8.3ms;moe_permute=3.7ms,backward|recompute
0,25503826480,40.517,4,0.0,1.016,laggard_gpu_busy,gemm=16.9ms;elementwise=10.4ms;cat_copy=6.7ms,backward|recompute
0,25702826481,14.466,4,0.0,1.024,laggard_gpu_busy,gemm=7.3ms;elementwise=3.7ms;moe_permute=3.0ms,backward|recompute
0,25751045948,18.021,4,0.0,1.041,laggard_gpu_busy,gemm=14.5ms;moe_permute=3.1ms;cat_copy=1.1ms,backward|recompute
0,25912910759,27.943,2,0.0,1.031,laggard_gpu_busy,gemm=14.4ms;elementwise=7.5ms;moe_permute=3.3ms,backward|recompute
0,25960766317,33.996,2,0.0,1.023,laggard_gpu_busy,gemm=15.1ms;elementwise=9.5ms;cat_copy=3.5ms,backward|recompute
0,26147505480,15.815,3,0.0,1.019,laggard_gpu_busy,gemm=6.0ms;elementwise=5.8ms;moe_permute=2.5ms,backward|recompute
0,26187009597,18.994,3,0.0,1.038,laggard_gpu_busy,gemm=11.9ms;moe_permute=2.7ms;activation=2.4ms,backward|recompute
0,26358349628,16.565,6,0.0,1.016,laggard_gpu_busy,gemm=6.9ms;elementwise=6.1ms;moe_permute=3.0ms,backward|recompute
0,26404190959,19.824,6,0.0,1.037,laggard_gpu_busy,gemm=13.8ms;moe_permute=3.1ms;activation=2.5ms,backward|recompute
0,26572398283,27.994,6,0.0,1.028,laggard_gpu_busy,gemm=13.2ms;elementwise=8.3ms;moe_permute=3.3ms,backward|recompute
0,26625599171,36.885,6,0.0,1.015,laggard_gpu_busy,gemm=16.7ms;elementwise=7.6ms;cat_copy=6.3ms,backward|recompute
0,26812577983,16.086,3,0.0,1.018,laggard_gpu_busy,gemm=6.3ms;elementwise=6.3ms;moe_permute=3.0ms,backward|recompute
0,26855418313,19.385,3,0.0,1.041,laggard_gpu_busy,gemm=12.6ms;moe_permute=2.9ms;activation=2.8ms,backward|recompute
0,27033974642,13.387,2,0.0,1.022,laggard_gpu_busy,gemm=5.8ms;elementwise=4.6ms;moe_permute=2.6ms,backward|recompute
0,27074295482,15.925,2,0.0,1.043,laggard_gpu_busy,gemm=11.6ms;moe_permute=2.8ms;activation=1.2ms,backward|recompute
0,27246682799,6.289,5,0.001,1.05,laggard_gpu_busy,gemm=4.2ms;moe_permute=2.4ms;hybridep_meta=0.0ms,backward|recompute
0,27283936748,8.246,5,0.0,1.086,laggard_gpu_busy,gemm=6.4ms;moe_permute=2.6ms;hybridep_meta=0.0ms,backward|recompute
0,27453342136,11.891,4,0.0,1.027,laggard_gpu_busy,gemm=6.7ms;moe_permute=2.8ms;elementwise=1.9ms,backward|recompute
0,27498810758,13.796,4,0.0,1.047,laggard_gpu_busy,gemm=11.5ms;moe_permute=3.0ms;hybridep_meta=0.0ms,backward|recompute
0,27664295485,20.261,6,0.0,1.013,laggard_gpu_busy,gemm=7.5ms;elementwise=7.3ms;moe_permute=3.2ms,backward|recompute
0,27712824212,24.24,6,0.0,1.029,laggard_gpu_busy,gemm=14.8ms;moe_permute=3.1ms;activation=3.1ms,backward|recompute
0,27896725895,6.882,6,0.001,1.044,laggard_gpu_busy,gemm=4.9ms;moe_permute=2.2ms;elementwise=0.1ms,backward|recompute
0,27931656325,8.2,6,0.0,1.047,laggard_gpu_busy,gemm=6.2ms;moe_permute=2.3ms;hybridep_meta=0.0ms,backward|recompute
0,28103415953,14.803,7,0.0,1.019,laggard_gpu_busy,gemm=7.8ms;moe_permute=3.6ms;elementwise=2.7ms,backward|recompute
0,28154396778,19.334,7,0.0,1.035,laggard_gpu_busy,gemm=15.1ms;moe_permute=3.6ms;cat_copy=1.3ms,backward|recompute
1,2186139700,13.405,0,0.0,1.024,laggard_gpu_busy,gemm=6.3ms;elementwise=4.0ms;moe_permute=2.7ms,forward|attention
1,2337816823,24.084,7,0.0,1.01,laggard_gpu_busy,gemm=8.9ms;elementwise=8.3ms;moe_permute=3.5ms,forward|attention
1,2581943271,15.244,6,0.0,1.018,laggard_gpu_busy,gemm=7.4ms;elementwise=4.1ms;moe_permute=3.1ms,forward|attention
1,2662953567,18.167,4,0.0,1.016,laggard_gpu_busy,gemm=6.7ms;elementwise=6.5ms;moe_permute=2.8ms,forward|attention
1,2749051100,7.927,5,0.001,1.041,laggard_gpu_busy,gemm=5.3ms;moe_permute=2.4ms;cat_copy=0.4ms,forward|attention
1,2892560963,15.362,2,0.0,1.017,laggard_gpu_busy,elementwise=5.9ms;gemm=5.8ms;moe_permute=2.6ms,forward|attention
